Loading Qwen/Qwen3-8B on cuda:0...
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/399 [00:00<?, ?it/s]Loading weights:   1%|          | 2/399 [00:00<00:30, 12.95it/s]Loading weights:  11%|█         | 43/399 [00:00<00:01, 202.91it/s]Loading weights:  17%|█▋        | 68/399 [00:00<00:01, 216.38it/s]Loading weights:  32%|███▏      | 126/399 [00:00<00:00, 347.00it/s]Loading weights:  41%|████      | 164/399 [00:00<00:00, 342.56it/s]Loading weights:  50%|█████     | 200/399 [00:00<00:00, 339.12it/s]Loading weights:  63%|██████▎   | 252/399 [00:00<00:00, 388.23it/s]Loading weights:  75%|███████▌  | 301/399 [00:00<00:00, 404.01it/s]Loading weights:  86%|████████▌ | 342/399 [00:01<00:00, 400.28it/s]Loading weights:  98%|█████████▊| 391/399 [00:01<00:00, 424.14it/s]Loading weights: 100%|██████████| 399/399 [00:01<00:00, 358.11it/s]
Loaded in 3s, 16.4GB
Layers: 36, hidden: 4096, inter: 12288
Expert layers: 24-35
Trainable: 3,244,032 params (3.2M)
Loading C4...
Training 25000 steps...
Step 15000/25000 | loss=2.3438 | tau=0.250 | route=[0.51,0.49]
  Eval PPL=11.44 CosSim=0.0532
Step 15100/25000 | loss=3.2500 | tau=0.245 | route=[0.51,0.49]
Step 15200/25000 | loss=3.1094 | tau=0.240 | route=[0.52,0.48]
Step 15300/25000 | loss=2.7031 | tau=0.235 | route=[0.50,0.50]
Step 15400/25000 | loss=2.8594 | tau=0.230 | route=[0.54,0.46]
Step 15500/25000 | loss=2.8438 | tau=0.225 | route=[0.48,0.52]
Step 15600/25000 | loss=3.0781 | tau=0.220 | route=[0.46,0.54]
Step 15700/25000 | loss=2.4375 | tau=0.215 | route=[0.46,0.54]
Step 15800/25000 | loss=2.3906 | tau=0.210 | route=[0.48,0.52]
Step 15900/25000 | loss=2.8750 | tau=0.205 | route=[0.49,0.51]
Step 16000/25000 | loss=2.7656 | tau=0.200 | route=[0.49,0.51]
  Eval PPL=74.50 CosSim=0.0529
Step 16100/25000 | loss=3.6406 | tau=0.195 | route=[0.51,0.49]
Step 16200/25000 | loss=3.1719 | tau=0.190 | route=[0.52,0.48]
Step 16300/25000 | loss=2.5312 | tau=0.185 | route=[0.48,0.52]
Step 16400/25000 | loss=2.9219 | tau=0.180 | route=[0.48,0.52]
Step 16500/25000 | loss=2.6562 | tau=0.175 | route=[0.50,0.50]
Step 16600/25000 | loss=2.9688 | tau=0.170 | route=[0.47,0.53]
Step 16700/25000 | loss=2.6250 | tau=0.165 | route=[0.46,0.54]
Step 16800/25000 | loss=2.3281 | tau=0.160 | route=[0.51,0.49]
Step 16900/25000 | loss=2.3438 | tau=0.155 | route=[0.49,0.51]
Step 17000/25000 | loss=2.5938 | tau=0.150 | route=[0.50,0.50]
  Eval PPL=17.50 CosSim=0.0517
Step 17100/25000 | loss=2.8125 | tau=0.145 | route=[0.52,0.48]
